ipo_name,date,text
Prince Pipes,30-12-19,"IPO Name: Prince Pipes
Date Opened: 30-12-19
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 3.54
HNI subscription: 1.21
RII subscription: 1.89
CMP (BSE): 
Current Gains: "
Ujjivan Small,12-12-19,"IPO Name: Ujjivan Small
Date Opened: 12-12-19
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 110.72
HNI subscription: 473.0
RII subscription: 49.09
CMP (BSE): 
Current Gains: "
CSB Bank,04-12-19,"IPO Name: CSB Bank
Date Opened: 04-12-19
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 38.85
HNI subscription: 45.49
RII subscription: 9.01
CMP (BSE): 
Current Gains: "
IRCTC,14-10-19,"IPO Name: IRCTC
Date Opened: 14-10-19
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 108.79
HNI subscription: 354.52
RII subscription: 14.94
CMP (BSE): 
Current Gains: "
Sterling Wilson,20-08-19,"IPO Name: Sterling Wilson
Date Opened: 20-08-19
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 1.02
HNI subscription: 0.89
RII subscription: 0.3
CMP (BSE): 
Current Gains: "
Indiamart Inter,04-07-19,"IPO Name: Indiamart Inter
Date Opened: 04-07-19
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 30.83
HNI subscription: 62.13
RII subscription: 14.07
CMP (BSE): 
Current Gains: "
Neogen,08-05-19,"IPO Name: Neogen
Date Opened: 08-05-19
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 30.49
HNI subscription: 113.88
RII subscription: 16.06
CMP (BSE): 
Current Gains: "
Metropolis,15-04-19,"IPO Name: Metropolis
Date Opened: 15-04-19
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 8.88
HNI subscription: 3.03
RII subscription: 2.21
CMP (BSE): 
Current Gains: "
Rail Vikas,11-04-19,"IPO Name: Rail Vikas
Date Opened: 11-04-19
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 1.36
HNI subscription: 0.8
RII subscription: 2.92
CMP (BSE): 
Current Gains: "
Embassy Office,01-04-19,"IPO Name: Embassy Office
Date Opened: 01-04-19
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 2.15
HNI subscription: 3.09
RII subscription: 0.31
CMP (BSE): 
Current Gains: "
MSTC,29-03-19,"IPO Name: MSTC
Date Opened: 29-03-19
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 1.13
HNI subscription: 2.15
RII subscription: 2.95
CMP (BSE): 
Current Gains: "
Chalet Hotels,07-02-19,"IPO Name: Chalet Hotels
Date Opened: 07-02-19
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 4.66
HNI subscription: 1.1
RII subscription: 0.03
CMP (BSE): 
Current Gains: "
Xelpmoc Design ,04-02-19,"IPO Name: Xelpmoc Design 
Date Opened: 04-02-19
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 1.24
HNI subscription: 7.69
RII subscription: 2.64
CMP (BSE): 
Current Gains: "
AAVAS Financier,08-10-18,"IPO Name: AAVAS Financier
Date Opened: 08-10-18
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 2.77
HNI subscription: 0.26
RII subscription: 0.25
CMP (BSE): 
Current Gains: "
